City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,port blair,11.6667,92.75,26.87,80,96,5.82,IN,1667886406
160,bandiagara,14.3501,-3.6104,23.35,15,47,4.39,ML,1667886690
161,villazon,-22.0866,-65.5942,6.78,67,84,3.04,BO,1667886691
162,isangel,-19.55,169.2667,27.06,74,77,3.09,VU,1667886691
163,warmbad,-28.45,18.7333,21.88,48,20,2.61,NA,1667886691
164,sao joao da barra,-21.6403,-41.0511,19.07,87,96,3.15,BR,1667886692
165,narsaq,60.9167,-46.05,-5.67,71,100,3.11,GL,1667886692
166,hirtshals,57.5881,9.9592,11.56,94,96,6.09,DK,1667886692
167,castro,-24.7911,-50.0119,8.6,98,23,2.19,BR,1667886693
168,qaanaaq,77.484,-69.3632,-18.4,97,100,2.08,GL,1667886693
169,ponta do sol,32.6667,-17.1,20.56,83,83,2.3,PT,1667886693
170,lander,42.833,-108.7307,12.45,35,0,10.29,US,1667886668
171,choix,26.7092,-108.3219,18.09,50,23,1.66,MX,1667886694
172,faanui,-16.4833,-151.75,25.72,76,17,3.71,PF,1667886694
173,cayenne,4.9333,-52.3333,24.02,94,75,0.0,GF,1667886695
174,tuktoyaktuk,69.4541,-133.0374,-17.0,78,0,5.66,CA,1667886695
175,geraldton,-28.7667,114.6,22.23,60,75,7.2,AU,1667886695
176,shingu,33.7333,135.9833,19.48,49,0,1.15,JP,1667886696
177,victoria,22.2855,114.1577,24.62,81,97,4.47,HK,1667886107
178,cesme,38.3228,26.3064,15.13,70,24,6.87,TR,1667886696
179,urumqi,43.801,87.6005,7.53,57,6,3.0,CN,1667886697
180,ardesen,41.1911,40.9875,15.82,76,94,2.08,TR,1667886697
181,sheltozero,61.3667,35.3667,2.47,94,100,4.39,RU,1667886697
182,guerrero negro,27.9769,-114.0611,17.79,84,27,4.51,MX,1667886698
183,maragogi,-9.0122,-35.2225,23.49,85,11,1.51,BR,1667886698
184,cabo san lucas,22.8909,-109.9124,23.06,73,0,2.24,MX,1667886699
185,neiafu,-18.65,-173.9833,26.38,73,20,4.12,TO,1667886699
186,portland,45.5234,-122.6762,5.45,93,99,1.79,US,1667886401
187,weinan,34.5036,109.5089,14.48,76,100,1.57,CN,1667886699
188,tiksi,71.6872,128.8694,-17.74,89,100,6.99,RU,1667886700
189,bethel,41.3712,-73.414,11.05,54,0,3.09,US,1667886700
190,lata,40.1629,-8.3327,15.51,96,100,2.77,PT,1667886701
191,saryozek,44.3583,77.9753,5.55,64,100,5.76,KZ,1667886701
192,mabaruma,8.2,-59.7833,22.38,99,100,1.04,GY,1667886701
193,port hardy,50.6996,-127.4199,0.1,51,20,9.26,CA,1667886702
194,cherskiy,68.75,161.3,-20.13,99,67,0.63,RU,1667886702
195,huarmey,-10.0681,-78.1522,17.95,85,44,3.58,PE,1667886703
196,sao desiderio,-12.3633,-44.9733,22.09,76,100,1.41,BR,1667886703
197,bressuire,46.9167,-0.5,11.97,80,92,7.76,FR,1667886703
198,ascension,30.2169,-90.9001,22.26,96,40,0.0,US,1667886687
199,hofn,64.2539,-15.2082,6.42,85,100,12.2,IS,1667886704
200,coihaique,-45.5752,-72.0662,12.34,93,75,2.06,CL,1667886704
201,shimoda,34.6667,138.95,19.2,58,6,3.13,JP,1667886705
202,tautira,-17.7333,-149.15,24.42,84,17,4.42,PF,1667886705
203,lorengau,-2.0226,147.2712,28.81,75,100,2.58,PG,1667886705
204,flinders,-34.5833,150.8552,21.7,64,36,5.38,AU,1667886706
205,makakilo city,21.3469,-158.0858,25.18,71,0,2.57,US,1667886706
206,sambava,-14.2667,50.1667,25.53,63,99,4.24,MG,1667886707
207,los andes,-32.8337,-70.5983,16.67,50,98,0.54,CL,1667886707
208,broken hill,-31.95,141.4333,27.22,26,100,2.59,AU,1667886237
209,dakar,14.6937,-17.4441,23.49,66,72,6.25,SN,1667886708
210,bambous virieux,-20.3428,57.7575,26.23,65,40,4.63,MU,1667886708
211,kruisfontein,-34.0033,24.7314,17.71,58,17,3.41,ZA,1667886708
212,kalevala,65.2,31.1667,-0.14,93,100,2.42,RU,1667886709
213,shubarkuduk,49.1447,56.4872,-1.01,81,77,3.14,KZ,1667886709
214,huangchuan,32.1272,115.0394,24.07,31,84,4.27,CN,1667886710
215,san ignacio,17.1561,-89.0714,21.27,92,25,0.49,BZ,1667886710
216,gigmoto,13.7796,124.39,28.95,76,100,2.47,PH,1667886710
217,opuwo,-18.0607,13.84,20.61,30,0,0.63,NA,1667886711
218,somanda,-3.3667,33.95,24.51,53,97,2.21,TZ,1667886711
219,suntar,62.1444,117.6319,-7.15,93,100,1.05,RU,1667886712
220,anadyr,64.75,177.4833,-2.72,92,75,7.0,RU,1667886712
221,ensley,30.5188,-87.2728,23.07,91,0,2.06,US,1667886712
222,khuzdar,27.7384,66.6434,19.09,49,2,2.27,PK,1667886713
223,basco,20.4487,121.9702,26.25,81,32,7.7,PH,1667886713
224,esperance,-33.8667,121.9,16.86,66,100,7.15,AU,1667886713
225,pokosnoye,55.5258,101.0536,-2.48,62,100,4.79,RU,1667886714
226,arlit,18.7369,7.3853,20.4,22,22,3.01,NE,1667886714
227,victor harbor,-35.5667,138.6167,29.44,37,57,0.45,AU,1667886714
228,porto novo,6.4965,2.6036,26.9,92,74,1.43,BJ,1667886715
229,buala,-8.145,159.5921,27.77,81,79,3.77,SB,1667886715
230,tello,3.0669,-75.1378,21.42,84,82,1.15,CO,1667886715
